TABLE_NAME,COLUMN_NAME
TransactionComponentsDtls,EventId
TransactionComponentsDtls,FieldCode
TransactionComponentsDtls,Srlno
TransactionComponentsDtls,Trntype
TripSheetDtls,EntSrlNo
TripSheetDtls,TrnCtrlNo
TripSheetDtls,TrnType
TripSheetHdr,TrnCtrlNo
TripSheetHdr,TrnType
TripSheetStatusDtls,StatusCtrlNo
TripSheetStatusDtls,StatusEntSrlNo
UserWiseItemConfig,UserID
VendorItems,RecNo
VendorItems,VendCd
Vendors,Code
VersionDtls,VerId
VersionwiseTblsScript,SrlNo
VersionwiseTblsScript,VerID
WalkIn,WalkinIntervalCtr
WalkIn,WalkInSysDate
