00019C	Customer Classification1 Look-up Rec-Id	CustClass1RecId
00020A	Customer Classification2 Applicable	CustClass2Present
00020B	Customer Classification2 Caption	CustClass2Cap
00020C	Customer Classification2 Look-up Rec-Id	CustClass2RecId
00021A	Customer Classification3 Applicable	CustClass3Present
00021B	Customer Classification3 Caption	CustClass3Cap
00021C	Customer Classification3 Look-up Rec-Id	CustClass3RecId
00022A	Customer Classification4 Applicable	CustClass4Present
00022B	Customer Classification4 Caption	CustClass4Cap
00022C	Customer Classification4 Look-up Rec-Id	CustClass4RecId
00023A	Customer Classification5 Applicable	CustClass5Present
00023B	Customer Classification5 Caption	CustClass5Cap
00023C	Customer Classification5 Look-up Rec-Id	CustClass5RecId
00024A	Shoper Application Segment	SHOPERAppSeg
00024B	Jewellry Segment	IsJewellrySeg
00026A	SHOPER Environment	SHOPEREnv
00026R	Retail Environment True	IsRetailEnv
00026W	Wholesale Environment True	IsWholeSaleEnv
00028A	Stock Module Present	StockModulePresent
00028B	Accounting Module Present	AccountsPresent
00035A	Product-wise Sales Tax Applicable	ProdTaxTypePresent
00035B	Product-wise Sales Tax Type Look-up Rec-Id	ProdTaxTypeRecId
00036A	Source-wise Tax Grouping Applicable	SourceTaxTypePresent
00036B	Source-wise Sales Tax Type Look-up Rec-Id	SourceTaxTypeRecId
00037A	Destination-wise Tax Grouping Applicable	DestTaxTypePresent
00037B	Destination-wise Sales Tax Type Look-up Rec-Id	DestTaxTypeRecId
00038A	Goods Inward Physical Verification Applicable	GIRPhysVerPresent
00038B	Allow Goods Inward without PO Reference	GIRWithoutPORef
00039A	Location wise Stock Transaction Summary Maintained	StkTrnSumHasLocCd
00041A	Customer Profile1 Used	CustProfile1Present
00041B	Customer Profile1 Caption	CustProfile1Cap
00041C	Customer Profile1 Look-Up Rec-Id	CustProfile1RecId
00042A	Customer Profile2 Used	CustProfile2Present
00042B	Customer Profile2 Caption	CustProfile2Cap
00042C	Customer Profile2 Look-up Rec-Id	CustProfile2RecId
00043A	Customer Profile3 Used	CustProfile3Present
00043B	Customer Profile3 Caption	CustProfile3Cap
00043C	Customer Profile3 Look-up Rec-Id	CustProfile3RecId
00044A	Customer Profile4 Used	CustProfile4Present
00044B	Customer Profile4 Caption	CustProfile4Cap
00044C	Customer Profile4 Look-up Rec-Id	CustProfile4RecId
00045A	Customer Profile5 Used	CustProfile5Present
00045B	Customer Profile5 Caption	CustProfile5Cap
00045C	Customer Profile5 Look-up Rec-Id	CustProfile5RecId
00046A	Jewellry Segment Parameter: Is Gross Weight Variable	IsGrossWtVariable
00046B	Jewellry Segment Parameter: Max Variation Allowed (%)	MaxGrossWtVar
00047A	Item Analysis Code1 Present	ItemAnaCd1Present
00047B	Item Analysis Code1 Caption	ItemAnaCd1Caption
00047C	Item Analysis Code1 Look-up Rec Id	ItemAnaCd1RecId
00048A	Item Analysis Code2  Present	ItemAnaCd2Present
00048B	Item Analysis Code2 Caption	ItemAnaCd2Caption
00048C	Item Analysis Code2 Look-up Rec Id	ItemAnaCd2RecId
00050A	Item Analysis Code3  Present	ItemAnaCd3Present
00050B	Item Analysis Code3 Caption	ItemAnaCd3Caption
00050C	Item Analysis Code3 Look-up Rec Id	ItemAnaCd3RecId
00051A	Item Analysis Code4  Present	ItemAnaCd4Present
00051B	Item Analysis Code4 Caption	ItemAnaCd4Caption
00051C	Item Analysis Code4 Look-up Rec Id	ItemAnaCd4RecId
00052A	Item Analysis Code5  Present	ItemAnaCd5Present
00052B	Item Analysis Code5 Caption	ItemAnaCd5Caption
00052C	Item Analysis Code5 Look-up Rec Id	ItemAnaCd5RecId
00053A	Item Super Classification1 Present	SuperClass1Present
00053B	Item Super Classification1 Look-up Rec Id	SuperClass1RecId
00053C	Item Super Classification1 Caption	SuperClass1Caption
00054A	Item Super Classification2 Present	SuperClass2Present
00054B	Item Super Classification2 Look-up Rec Id	SuperClass2RecId
00054C	Item Super Classification2 Caption	SuperClass2Caption
00055A	User Assigned Stock Number 	IsStkNoAssigned
00055B	Stock Number generation methodology param	StockNoGen
00056A	Discounts Applicable	DiscountPresent
00056B	Discount Look-up Id	DiscRecId
00057A	Add-ons Applicable in Billing	AddOnsPresent
00057B	Add-ons Look-up Id	AddOnRecId
00058A	Deductions Applicable in Billing	DednsPresent
00058B	Deductions Look-up Id	DednsRecId
00059A	Allow Multiple Price Factors in a bill for a single item	AllowMultiPrcFact
00059B	Allow Multiple Discounts in a bill for a single Item	AllowMultiDiscount
00060A	Allow User Selection for Rate of Issue (Outwards)	AllowDiffRatesInMiscIss
00060B	Rate to be applied in Goods Outwards - Misc Issue (if above is False)	RateAppliedInMiscIss
00060C	Rate to pre-display in Goods Outwards - Misc Issues (if above is 3)	RateDisplayedInMiscIss
00061A	Least Saleable Quantity on Item Selection - Misc. Issue	ApplyLSQInMiscIss
00061B	Stock check in Goods Outwards - Misc. Issue	StkChkInMiscIss
00062A	Least Saleable Quantity on Item Selection in Purchase Returns	ApplyLSQInPurchRetn
00062B	Stock check in Goods Outwards - Purchase Returns	StkChkInPurchRetn
00062C	Apply Least Saleable Quantity on item selection in Goods Inwards	ApplyLSQInPurch
00063A	Least Saleable Quantity on Item Selection in Transfer Out	ApplyLSQInTrfrOut
00063B	Stock check in Goods Outwards - Transfer Out	StkChkInTrfrOut
00064A	Least Saleable Quantity on Item Selection in Approval Issues	ApplyLSQInAppIss
00064B	Stock check in Goods Outwards - Approval Issue	StkChkInAppIss
00100A	Allow Service Billing	AllowServiceBilling
00100B	Credit Billing Allowed	AllowCreditBilling
00101A	Accept Customer Id in Billing	AcceptCustInBill
00101B	Accept Sales Man Id in Bill	AcceptSalemanInBill
00101C	Personnel Type applicable for Sales man	SalesmanPersonType
00103A	Club Duplicate Items in Bill	ClubDupInBill
00103B	Allow Service Items in a Product Bill	CanBillServiceWithProd
00104A	Apply Least Saleable Quantity on Item Selection in Billing	ApplyLSQinBill
00104B	Check Stock on Item Selection in Billing	ItemStockCheckInBill
00104C	Stock Out Action in Billing	StockOutActionInBill
00105A	Allow Rate Alteration in Billing	AllowRateAlterInBill
00151A	Bill Header Line#1	BillHdrLine1
00151B	Bill Header Line#2	BillHdrLine2
00151C	Bill Header Line#3	BillHdrLine3
00151D	Bill Header Line#4	BillHdrLine4
00151E	Bill Header Line#5	BillHdrLine5
00151F	Bill Header Line#6	BillHdrLine6
00151G	Bill Header Line#7	BillHdrLine7
00151H	Bill Header Line#8	BillHdrLine8
00152A	Print Customer Name on Bill	PrintCustNameOnBill
00152B	Print Sales Tax Regn No on Bill	PrintSTaxRegnNo
00153A	Print Salesman Id on Bill	PrintSalesmanIdOnBill
00153B	Print Copy Number on Bill Footer	PrintBillCopyNumber
00153C	Print Time on Bill	PrintTimeOnBill
00154A	Message to be Printed on Bill Footer Line#1	BillFooterMsgLine1
00154B	Message to be Printed on Bill Footer Line#2	BillFooterMsgLine2
00154C	Message to be Printed on Bill Footer Line#3	BillFooterMsgLine3
00155A	Print Stock Number in Bill	PrintStkNoOnBill
00155B	Formation of Item Description String printed on Bill	ItemDescOnBill
00155C	No. of Decimal Places for Quantity	QtyDecimalDigits
00155D	No. of Decimal Places for Value	ValDecimalDigits
00155E	Print Item Level discount on Bill	PrintItemDisc
00156A	POS Printer Device Name	POSPrinterDevice
00156B	POS Printing ON	POSPrintingON
